Item_ID,Display_Name,Tier,Enchant,Category
T5_OFF_TOWERSHIELD_UNDEAD@4,Expert's Sarcophagus,5,4,Off-Hand
T6_OFF_TOWERSHIELD_UNDEAD,Master's Sarcophagus,6,0,Off-Hand
T6_OFF_TOWERSHIELD_UNDEAD@1,Master's Sarcophagus,6,1,Off-Hand
T6_OFF_TOWERSHIELD_UNDEAD@2,Master's Sarcophagus,6,2,Off-Hand
T6_OFF_TOWERSHIELD_UNDEAD@3,Master's Sarcophagus,6,3,Off-Hand
T6_OFF_TOWERSHIELD_UNDEAD@4,Master's Sarcophagus,6,4,Off-Hand
T7_OFF_TOWERSHIELD_UNDEAD,Grandmaster's Sarcophagus,7,0,Off-Hand
T7_OFF_TOWERSHIELD_UNDEAD@1,Grandmaster's Sarcophagus,7,1,Off-Hand
T7_OFF_TOWERSHIELD_UNDEAD@2,Grandmaster's Sarcophagus,7,2,Off-Hand
T7_OFF_TOWERSHIELD_UNDEAD@3,Grandmaster's Sarcophagus,7,3,Off-Hand
T7_OFF_TOWERSHIELD_UNDEAD@4,Grandmaster's Sarcophagus,7,4,Off-Hand
T8_OFF_TOWERSHIELD_UNDEAD,Elder's Sarcophagus,8,0,Off-Hand
T8_OFF_TOWERSHIELD_UNDEAD@1,Elder's Sarcophagus,8,1,Off-Hand
T8_OFF_TOWERSHIELD_UNDEAD@2,Elder's Sarcophagus,8,2,Off-Hand
T8_OFF_TOWERSHIELD_UNDEAD@3,Elder's Sarcophagus,8,3,Off-Hand
T8_OFF_TOWERSHIELD_UNDEAD@4,Elder's Sarcophagus,8,4,Off-Hand
T4_OFF_SHIELD_HELL,Adept's Caitiff Shield,4,0,Off-Hand
T4_OFF_SHIELD_HELL@1,Adept's Caitiff Shield,4,1,Off-Hand
T4_OFF_SHIELD_HELL@2,Adept's Caitiff Shield,4,2,Off-Hand
T4_OFF_SHIELD_HELL@3,Adept's Caitiff Shield,4,3,Off-Hand
T4_OFF_SHIELD_HELL@4,Adept's Caitiff Shield,4,4,Off-Hand
T5_OFF_SHIELD_HELL,Expert's Caitiff Shield,5,0,Off-Hand
T5_OFF_SHIELD_HELL@1,Expert's Caitiff Shield,5,1,Off-Hand
T5_OFF_SHIELD_HELL@2,Expert's Caitiff Shield,5,2,Off-Hand
T5_OFF_SHIELD_HELL@3,Expert's Caitiff Shield,5,3,Off-Hand
T5_OFF_SHIELD_HELL@4,Expert's Caitiff Shield,5,4,Off-Hand
T6_OFF_SHIELD_HELL,Master's Caitiff Shield,6,0,Off-Hand
T6_OFF_SHIELD_HELL@1,Master's Caitiff Shield,6,1,Off-Hand
T6_OFF_SHIELD_HELL@2,Master's Caitiff Shield,6,2,Off-Hand
T6_OFF_SHIELD_HELL@3,Master's Caitiff Shield,6,3,Off-Hand
T6_OFF_SHIELD_HELL@4,Master's Caitiff Shield,6,4,Off-Hand
T7_OFF_SHIELD_HELL,Grandmaster's Caitiff Shield,7,0,Off-Hand
T7_OFF_SHIELD_HELL@1,Grandmaster's Caitiff Shield,7,1,Off-Hand
T7_OFF_SHIELD_HELL@2,Grandmaster's Caitiff Shield,7,2,Off-Hand
T7_OFF_SHIELD_HELL@3,Grandmaster's Caitiff Shield,7,3,Off-Hand
T7_OFF_SHIELD_HELL@4,Grandmaster's Caitiff Shield,7,4,Off-Hand
T8_OFF_SHIELD_HELL,Elder's Caitiff Shield,8,0,Off-Hand
T8_OFF_SHIELD_HELL@1,Elder's Caitiff Shield,8,1,Off-Hand
T8_OFF_SHIELD_HELL@2,Elder's Caitiff Shield,8,2,Off-Hand
T8_OFF_SHIELD_HELL@3,Elder's Caitiff Shield,8,3,Off-Hand
T8_OFF_SHIELD_HELL@4,Elder's Caitiff Shield,8,4,Off-Hand
T4_OFF_SPIKEDSHIELD_MORGANA,Adept's Facebreaker,4,0,Off-Hand
T4_OFF_SPIKEDSHIELD_MORGANA@1,Adept's Facebreaker,4,1,Off-Hand
T4_OFF_SPIKEDSHIELD_MORGANA@2,Adept's Facebreaker,4,2,Off-Hand
T4_OFF_SPIKEDSHIELD_MORGANA@3,Adept's Facebreaker,4,3,Off-Hand
T4_OFF_SPIKEDSHIELD_MORGANA@4,Adept's Facebreaker,4,4,Off-Hand
T5_OFF_SPIKEDSHIELD_MORGANA,Expert's Facebreaker,5,0,Off-Hand
T5_OFF_SPIKEDSHIELD_MORGANA@1,Expert's Facebreaker,5,1,Off-Hand
T5_OFF_SPIKEDSHIELD_MORGANA@2,Expert's Facebreaker,5,2,Off-Hand
T5_OFF_SPIKEDSHIELD_MORGANA@3,Expert's Facebreaker,5,3,Off-Hand
T5_OFF_SPIKEDSHIELD_MORGANA@4,Expert's Facebreaker,5,4,Off-Hand
T6_OFF_SPIKEDSHIELD_MORGANA,Master's Facebreaker,6,0,Off-Hand
T6_OFF_SPIKEDSHIELD_MORGANA@1,Master's Facebreaker,6,1,Off-Hand
T6_OFF_SPIKEDSHIELD_MORGANA@2,Master's Facebreaker,6,2,Off-Hand
T6_OFF_SPIKEDSHIELD_MORGANA@3,Master's Facebreaker,6,3,Off-Hand
T6_OFF_SPIKEDSHIELD_MORGANA@4,Master's Facebreaker,6,4,Off-Hand
T7_OFF_SPIKEDSHIELD_MORGANA,Grandmaster's Facebreaker,7,0,Off-Hand
T7_OFF_SPIKEDSHIELD_MORGANA@1,Grandmaster's Facebreaker,7,1,Off-Hand
T7_OFF_SPIKEDSHIELD_MORGANA@2,Grandmaster's Facebreaker,7,2,Off-Hand
T7_OFF_SPIKEDSHIELD_MORGANA@3,Grandmaster's Facebreaker,7,3,Off-Hand
T7_OFF_SPIKEDSHIELD_MORGANA@4,Grandmaster's Facebreaker,7,4,Off-Hand
T8_OFF_SPIKEDSHIELD_MORGANA,Elder's Facebreaker,8,0,Off-Hand
T8_OFF_SPIKEDSHIELD_MORGANA@1,Elder's Facebreaker,8,1,Off-Hand
T8_OFF_SPIKEDSHIELD_MORGANA@2,Elder's Facebreaker,8,2,Off-Hand
T8_OFF_SPIKEDSHIELD_MORGANA@3,Elder's Facebreaker,8,3,Off-Hand
T8_OFF_SPIKEDSHIELD_MORGANA@4,Elder's Facebreaker,8,4,Off-Hand
T4_OFF_SHIELD_AVALON,Adept's Astral Aegis,4,0,Off-Hand
T4_OFF_SHIELD_AVALON@1,Adept's Astral Aegis,4,1,Off-Hand
T4_OFF_SHIELD_AVALON@2,Adept's Astral Aegis,4,2,Off-Hand
T4_OFF_SHIELD_AVALON@3,Adept's Astral Aegis,4,3,Off-Hand
T4_OFF_SHIELD_AVALON@4,Adept's Astral Aegis,4,4,Off-Hand
T5_OFF_SHIELD_AVALON,Expert's Astral Aegis,5,0,Off-Hand
T5_OFF_SHIELD_AVALON@1,Expert's Astral Aegis,5,1,Off-Hand
T5_OFF_SHIELD_AVALON@2,Expert's Astral Aegis,5,2,Off-Hand
T5_OFF_SHIELD_AVALON@3,Expert's Astral Aegis,5,3,Off-Hand
T5_OFF_SHIELD_AVALON@4,Expert's Astral Aegis,5,4,Off-Hand
T6_OFF_SHIELD_AVALON,Master's Astral Aegis,6,0,Off-Hand
T6_OFF_SHIELD_AVALON@1,Master's Astral Aegis,6,1,Off-Hand
T6_OFF_SHIELD_AVALON@2,Master's Astral Aegis,6,2,Off-Hand
T6_OFF_SHIELD_AVALON@3,Master's Astral Aegis,6,3,Off-Hand
T6_OFF_SHIELD_AVALON@4,Master's Astral Aegis,6,4,Off-Hand
T7_OFF_SHIELD_AVALON,Grandmaster's Astral Aegis,7,0,Off-Hand
T7_OFF_SHIELD_AVALON@1,Grandmaster's Astral Aegis,7,1,Off-Hand
T7_OFF_SHIELD_AVALON@2,Grandmaster's Astral Aegis,7,2,Off-Hand
T7_OFF_SHIELD_AVALON@3,Grandmaster's Astral Aegis,7,3,Off-Hand
T7_OFF_SHIELD_AVALON@4,Grandmaster's Astral Aegis,7,4,Off-Hand
T8_OFF_SHIELD_AVALON,Elder's Astral Aegis,8,0,Off-Hand
T8_OFF_SHIELD_AVALON@1,Elder's Astral Aegis,8,1,Off-Hand
T8_OFF_SHIELD_AVALON@2,Elder's Astral Aegis,8,2,Off-Hand
T8_OFF_SHIELD_AVALON@3,Elder's Astral Aegis,8,3,Off-Hand
T8_OFF_SHIELD_AVALON@4,Elder's Astral Aegis,8,4,Off-Hand
T4_OFF_SHIELD_CRYSTAL,Adept's Unbreakable Ward,4,0,Off-Hand
T4_OFF_SHIELD_CRYSTAL@1,Adept's Unbreakable Ward,4,1,Off-Hand
T4_OFF_SHIELD_CRYSTAL@2,Adept's Unbreakable Ward,4,2,Off-Hand
T4_OFF_SHIELD_CRYSTAL@3,Adept's Unbreakable Ward,4,3,Off-Hand
T4_OFF_SHIELD_CRYSTAL@4,Adept's Unbreakable Ward,4,4,Off-Hand
T5_OFF_SHIELD_CRYSTAL,Expert's Unbreakable Ward,5,0,Off-Hand
T5_OFF_SHIELD_CRYSTAL@1,Expert's Unbreakable Ward,5,1,Off-Hand
T5_OFF_SHIELD_CRYSTAL@2,Expert's Unbreakable Ward,5,2,Off-Hand
T5_OFF_SHIELD_CRYSTAL@3,Expert's Unbreakable Ward,5,3,Off-Hand
T5_OFF_SHIELD_CRYSTAL@4,Expert's Unbreakable Ward,5,4,Off-Hand
T6_OFF_SHIELD_CRYSTAL,Master's Unbreakable Ward,6,0,Off-Hand
T6_OFF_SHIELD_CRYSTAL@1,Master's Unbreakable Ward,6,1,Off-Hand
T6_OFF_SHIELD_CRYSTAL@2,Master's Unbreakable Ward,6,2,Off-Hand
T6_OFF_SHIELD_CRYSTAL@3,Master's Unbreakable Ward,6,3,Off-Hand
T6_OFF_SHIELD_CRYSTAL@4,Master's Unbreakable Ward,6,4,Off-Hand
T7_OFF_SHIELD_CRYSTAL,Grandmaster's Unbreakable Ward,7,0,Off-Hand
T7_OFF_SHIELD_CRYSTAL@1,Grandmaster's Unbreakable Ward,7,1,Off-Hand
T7_OFF_SHIELD_CRYSTAL@2,Grandmaster's Unbreakable Ward,7,2,Off-Hand
T7_OFF_SHIELD_CRYSTAL@3,Grandmaster's Unbreakable Ward,7,3,Off-Hand
T7_OFF_SHIELD_CRYSTAL@4,Grandmaster's Unbreakable Ward,7,4,Off-Hand
T8_OFF_SHIELD_CRYSTAL,Elder's Unbreakable Ward,8,0,Off-Hand
T8_OFF_SHIELD_CRYSTAL@1,Elder's Unbreakable Ward,8,1,Off-Hand
T8_OFF_SHIELD_CRYSTAL@2,Elder's Unbreakable Ward,8,2,Off-Hand
T8_OFF_SHIELD_CRYSTAL@3,Elder's Unbreakable Ward,8,3,Off-Hand
T8_OFF_SHIELD_CRYSTAL@4,Elder's Unbreakable Ward,8,4,Off-Hand
T4_OFF_BOOK,Adept's Tome of Spells,4,0,Off-Hand
T4_OFF_BOOK@1,Adept's Tome of Spells,4,1,Off-Hand
T4_OFF_BOOK@2,Adept's Tome of Spells,4,2,Off-Hand
T4_OFF_BOOK@3,Adept's Tome of Spells,4,3,Off-Hand
T4_OFF_BOOK@4,Adept's Tome of Spells,4,4,Off-Hand
T5_OFF_BOOK,Expert's Tome of Spells,5,0,Off-Hand
T5_OFF_BOOK@1,Expert's Tome of Spells,5,1,Off-Hand
T5_OFF_BOOK@2,Expert's Tome of Spells,5,2,Off-Hand
T5_OFF_BOOK@3,Expert's Tome of Spells,5,3,Off-Hand
T5_OFF_BOOK@4,Expert's Tome of Spells,5,4,Off-Hand
T6_OFF_BOOK,Master's Tome of Spells,6,0,Off-Hand
T6_OFF_BOOK@1,Master's Tome of Spells,6,1,Off-Hand
T6_OFF_BOOK@2,Master's Tome of Spells,6,2,Off-Hand
T6_OFF_BOOK@3,Master's Tome of Spells,6,3,Off-Hand
T6_OFF_BOOK@4,Master's Tome of Spells,6,4,Off-Hand
T7_OFF_BOOK,Grandmaster's Tome of Spells,7,0,Off-Hand
T7_OFF_BOOK@1,Grandmaster's Tome of Spells,7,1,Off-Hand
T7_OFF_BOOK@2,Grandmaster's Tome of Spells,7,2,Off-Hand
T7_OFF_BOOK@3,Grandmaster's Tome of Spells,7,3,Off-Hand
T7_OFF_BOOK@4,Grandmaster's Tome of Spells,7,4,Off-Hand
T8_OFF_BOOK,Rosalia's Diary,8,0,Off-Hand
T8_OFF_BOOK@1,Rosalia's Diary,8,1,Off-Hand
T8_OFF_BOOK@2,Rosalia's Diary,8,2,Off-Hand
T8_OFF_BOOK@3,Rosalia's Diary,8,3,Off-Hand
T8_OFF_BOOK@4,Rosalia's Diary,8,4,Off-Hand
T4_OFF_ORB_MORGANA,Adept's Eye of Secrets,4,0,Off-Hand
T4_OFF_ORB_MORGANA@1,Adept's Eye of Secrets,4,1,Off-Hand
T4_OFF_ORB_MORGANA@2,Adept's Eye of Secrets,4,2,Off-Hand
T4_OFF_ORB_MORGANA@3,Adept's Eye of Secrets,4,3,Off-Hand
T4_OFF_ORB_MORGANA@4,Adept's Eye of Secrets,4,4,Off-Hand
T5_OFF_ORB_MORGANA,Expert's Eye of Secrets,5,0,Off-Hand
T5_OFF_ORB_MORGANA@1,Expert's Eye of Secrets,5,1,Off-Hand
T5_OFF_ORB_MORGANA@2,Expert's Eye of Secrets,5,2,Off-Hand
T5_OFF_ORB_MORGANA@3,Expert's Eye of Secrets,5,3,Off-Hand
T5_OFF_ORB_MORGANA@4,Expert's Eye of Secrets,5,4,Off-Hand
T6_OFF_ORB_MORGANA,Master's Eye of Secrets,6,0,Off-Hand
T6_OFF_ORB_MORGANA@1,Master's Eye of Secrets,6,1,Off-Hand
T6_OFF_ORB_MORGANA@2,Master's Eye of Secrets,6,2,Off-Hand
T6_OFF_ORB_MORGANA@3,Master's Eye of Secrets,6,3,Off-Hand
T6_OFF_ORB_MORGANA@4,Master's Eye of Secrets,6,4,Off-Hand
T7_OFF_ORB_MORGANA,Grandmaster's Eye of Secrets,7,0,Off-Hand
T7_OFF_ORB_MORGANA@1,Grandmaster's Eye of Secrets,7,1,Off-Hand
T7_OFF_ORB_MORGANA@2,Grandmaster's Eye of Secrets,7,2,Off-Hand
T7_OFF_ORB_MORGANA@3,Grandmaster's Eye of Secrets,7,3,Off-Hand
T7_OFF_ORB_MORGANA@4,Grandmaster's Eye of Secrets,7,4,Off-Hand
T8_OFF_ORB_MORGANA,Elder's Eye of Secrets,8,0,Off-Hand
T8_OFF_ORB_MORGANA@1,Elder's Eye of Secrets,8,1,Off-Hand
T8_OFF_ORB_MORGANA@2,Elder's Eye of Secrets,8,2,Off-Hand
T8_OFF_ORB_MORGANA@3,Elder's Eye of Secrets,8,3,Off-Hand
T8_OFF_ORB_MORGANA@4,Elder's Eye of Secrets,8,4,Off-Hand
T4_OFF_DEMONSKULL_HELL,Adept's Muisak,4,0,Off-Hand
T4_OFF_DEMONSKULL_HELL@1,Adept's Muisak,4,1,Off-Hand
T4_OFF_DEMONSKULL_HELL@2,Adept's Muisak,4,2,Off-Hand
T4_OFF_DEMONSKULL_HELL@3,Adept's Muisak,4,3,Off-Hand
T4_OFF_DEMONSKULL_HELL@4,Adept's Muisak,4,4,Off-Hand
T5_OFF_DEMONSKULL_HELL,Expert's Muisak,5,0,Off-Hand
T5_OFF_DEMONSKULL_HELL@1,Expert's Muisak,5,1,Off-Hand
T5_OFF_DEMONSKULL_HELL@2,Expert's Muisak,5,2,Off-Hand
T5_OFF_DEMONSKULL_HELL@3,Expert's Muisak,5,3,Off-Hand
T5_OFF_DEMONSKULL_HELL@4,Expert's Muisak,5,4,Off-Hand
T6_OFF_DEMONSKULL_HELL,Master's Muisak,6,0,Off-Hand
T6_OFF_DEMONSKULL_HELL@1,Master's Muisak,6,1,Off-Hand
T6_OFF_DEMONSKULL_HELL@2,Master's Muisak,6,2,Off-Hand
T6_OFF_DEMONSKULL_HELL@3,Master's Muisak,6,3,Off-Hand
T6_OFF_DEMONSKULL_HELL@4,Master's Muisak,6,4,Off-Hand
T7_OFF_DEMONSKULL_HELL,Grandmaster's Muisak,7,0,Off-Hand
T7_OFF_DEMONSKULL_HELL@1,Grandmaster's Muisak,7,1,Off-Hand
T7_OFF_DEMONSKULL_HELL@2,Grandmaster's Muisak,7,2,Off-Hand
T7_OFF_DEMONSKULL_HELL@3,Grandmaster's Muisak,7,3,Off-Hand
T7_OFF_DEMONSKULL_HELL@4,Grandmaster's Muisak,7,4,Off-Hand
T8_OFF_DEMONSKULL_HELL,Elder's Muisak,8,0,Off-Hand
T8_OFF_DEMONSKULL_HELL@1,Elder's Muisak,8,1,Off-Hand
T8_OFF_DEMONSKULL_HELL@2,Elder's Muisak,8,2,Off-Hand
T8_OFF_DEMONSKULL_HELL@3,Elder's Muisak,8,3,Off-Hand
T8_OFF_DEMONSKULL_HELL@4,Elder's Muisak,8,4,Off-Hand
T4_OFF_TOTEM_KEEPER,Adept's Taproot,4,0,Off-Hand
T4_OFF_TOTEM_KEEPER@1,Adept's Taproot,4,1,Off-Hand
T4_OFF_TOTEM_KEEPER@2,Adept's Taproot,4,2,Off-Hand
T4_OFF_TOTEM_KEEPER@3,Adept's Taproot,4,3,Off-Hand
T4_OFF_TOTEM_KEEPER@4,Adept's Taproot,4,4,Off-Hand
T5_OFF_TOTEM_KEEPER,Expert's Taproot,5,0,Off-Hand
T5_OFF_TOTEM_KEEPER@1,Expert's Taproot,5,1,Off-Hand
T5_OFF_TOTEM_KEEPER@2,Expert's Taproot,5,2,Off-Hand
T5_OFF_TOTEM_KEEPER@3,Expert's Taproot,5,3,Off-Hand
T5_OFF_TOTEM_KEEPER@4,Expert's Taproot,5,4,Off-Hand
T6_OFF_TOTEM_KEEPER,Master's Taproot,6,0,Off-Hand
T6_OFF_TOTEM_KEEPER@1,Master's Taproot,6,1,Off-Hand
T6_OFF_TOTEM_KEEPER@2,Master's Taproot,6,2,Off-Hand
T6_OFF_TOTEM_KEEPER@3,Master's Taproot,6,3,Off-Hand
T6_OFF_TOTEM_KEEPER@4,Master's Taproot,6,4,Off-Hand
T7_OFF_TOTEM_KEEPER,Grandmaster's Taproot,7,0,Off-Hand
T7_OFF_TOTEM_KEEPER@1,Grandmaster's Taproot,7,1,Off-Hand
T7_OFF_TOTEM_KEEPER@2,Grandmaster's Taproot,7,2,Off-Hand
T7_OFF_TOTEM_KEEPER@3,Grandmaster's Taproot,7,3,Off-Hand
T7_OFF_TOTEM_KEEPER@4,Grandmaster's Taproot,7,4,Off-Hand
T8_OFF_TOTEM_KEEPER,Elder's Taproot,8,0,Off-Hand
T8_OFF_TOTEM_KEEPER@1,Elder's Taproot,8,1,Off-Hand
T8_OFF_TOTEM_KEEPER@2,Elder's Taproot,8,2,Off-Hand
T8_OFF_TOTEM_KEEPER@3,Elder's Taproot,8,3,Off-Hand
T8_OFF_TOTEM_KEEPER@4,Elder's Taproot,8,4,Off-Hand
T4_OFF_CENSER_AVALON,Adept's Celestial Censer,4,0,Off-Hand
T4_OFF_CENSER_AVALON@1,Adept's Celestial Censer,4,1,Off-Hand
T4_OFF_CENSER_AVALON@2,Adept's Celestial Censer,4,2,Off-Hand
T4_OFF_CENSER_AVALON@3,Adept's Celestial Censer,4,3,Off-Hand
T4_OFF_CENSER_AVALON@4,Adept's Celestial Censer,4,4,Off-Hand
T5_OFF_CENSER_AVALON,Expert's Celestial Censer,5,0,Off-Hand
T5_OFF_CENSER_AVALON@1,Expert's Celestial Censer,5,1,Off-Hand
T5_OFF_CENSER_AVALON@2,Expert's Celestial Censer,5,2,Off-Hand
T5_OFF_CENSER_AVALON@3,Expert's Celestial Censer,5,3,Off-Hand
T5_OFF_CENSER_AVALON@4,Expert's Celestial Censer,5,4,Off-Hand
T6_OFF_CENSER_AVALON,Master's Celestial Censer,6,0,Off-Hand
T6_OFF_CENSER_AVALON@1,Master's Celestial Censer,6,1,Off-Hand
T6_OFF_CENSER_AVALON@2,Master's Celestial Censer,6,2,Off-Hand
T6_OFF_CENSER_AVALON@3,Master's Celestial Censer,6,3,Off-Hand
T6_OFF_CENSER_AVALON@4,Master's Celestial Censer,6,4,Off-Hand
T7_OFF_CENSER_AVALON,Grandmaster's Celestial Censer,7,0,Off-Hand
T7_OFF_CENSER_AVALON@1,Grandmaster's Celestial Censer,7,1,Off-Hand
T7_OFF_CENSER_AVALON@2,Grandmaster's Celestial Censer,7,2,Off-Hand
T7_OFF_CENSER_AVALON@3,Grandmaster's Celestial Censer,7,3,Off-Hand
T7_OFF_CENSER_AVALON@4,Grandmaster's Celestial Censer,7,4,Off-Hand
T8_OFF_CENSER_AVALON,Elder's Celestial Censer,8,0,Off-Hand
T8_OFF_CENSER_AVALON@1,Elder's Celestial Censer,8,1,Off-Hand
T8_OFF_CENSER_AVALON@2,Elder's Celestial Censer,8,2,Off-Hand
T8_OFF_CENSER_AVALON@3,Elder's Celestial Censer,8,3,Off-Hand
T8_OFF_CENSER_AVALON@4,Elder's Celestial Censer,8,4,Off-Hand
T4_OFF_TOME_CRYSTAL,Adept's Timelocked Grimoire,4,0,Off-Hand
T4_OFF_TOME_CRYSTAL@1,Adept's Timelocked Grimoire,4,1,Off-Hand
T4_OFF_TOME_CRYSTAL@2,Adept's Timelocked Grimoire,4,2,Off-Hand
T4_OFF_TOME_CRYSTAL@3,Adept's Timelocked Grimoire,4,3,Off-Hand
T4_OFF_TOME_CRYSTAL@4,Adept's Timelocked Grimoire,4,4,Off-Hand
T5_OFF_TOME_CRYSTAL,Expert's Timelocked Grimoire,5,0,Off-Hand
T5_OFF_TOME_CRYSTAL@1,Expert's Timelocked Grimoire,5,1,Off-Hand
T5_OFF_TOME_CRYSTAL@2,Expert's Timelocked Grimoire,5,2,Off-Hand
T5_OFF_TOME_CRYSTAL@3,Expert's Timelocked Grimoire,5,3,Off-Hand
T5_OFF_TOME_CRYSTAL@4,Expert's Timelocked Grimoire,5,4,Off-Hand
T6_OFF_TOME_CRYSTAL,Master's Timelocked Grimoire,6,0,Off-Hand
T6_OFF_TOME_CRYSTAL@1,Master's Timelocked Grimoire,6,1,Off-Hand
T6_OFF_TOME_CRYSTAL@2,Master's Timelocked Grimoire,6,2,Off-Hand
T6_OFF_TOME_CRYSTAL@3,Master's Timelocked Grimoire,6,3,Off-Hand
T6_OFF_TOME_CRYSTAL@4,Master's Timelocked Grimoire,6,4,Off-Hand
T7_OFF_TOME_CRYSTAL,Grandmaster's Timelocked Grimoire,7,0,Off-Hand
T7_OFF_TOME_CRYSTAL@1,Grandmaster's Timelocked Grimoire,7,1,Off-Hand
T7_OFF_TOME_CRYSTAL@2,Grandmaster's Timelocked Grimoire,7,2,Off-Hand
T7_OFF_TOME_CRYSTAL@3,Grandmaster's Timelocked Grimoire,7,3,Off-Hand
T7_OFF_TOME_CRYSTAL@4,Grandmaster's Timelocked Grimoire,7,4,Off-Hand
T8_OFF_TOME_CRYSTAL,Elder's Timelocked Grimoire,8,0,Off-Hand
T8_OFF_TOME_CRYSTAL@1,Elder's Timelocked Grimoire,8,1,Off-Hand
T8_OFF_TOME_CRYSTAL@2,Elder's Timelocked Grimoire,8,2,Off-Hand
T8_OFF_TOME_CRYSTAL@3,Elder's Timelocked Grimoire,8,3,Off-Hand
T8_OFF_TOME_CRYSTAL@4,Elder's Timelocked Grimoire,8,4,Off-Hand
T4_OFF_TORCH,Adept's Torch,4,0,Off-Hand
T4_OFF_TORCH@1,Adept's Torch,4,1,Off-Hand
T4_OFF_TORCH@2,Adept's Torch,4,2,Off-Hand
T4_OFF_TORCH@3,Adept's Torch,4,3,Off-Hand
T4_OFF_TORCH@4,Adept's Torch,4,4,Off-Hand
T5_OFF_TORCH,Expert's Torch,5,0,Off-Hand
T5_OFF_TORCH@1,Expert's Torch,5,1,Off-Hand
T5_OFF_TORCH@2,Expert's Torch,5,2,Off-Hand
T5_OFF_TORCH@3,Expert's Torch,5,3,Off-Hand
T5_OFF_TORCH@4,Expert's Torch,5,4,Off-Hand
T6_OFF_TORCH,Master's Torch,6,0,Off-Hand
T6_OFF_TORCH@1,Master's Torch,6,1,Off-Hand
T6_OFF_TORCH@2,Master's Torch,6,2,Off-Hand
T6_OFF_TORCH@3,Master's Torch,6,3,Off-Hand
T6_OFF_TORCH@4,Master's Torch,6,4,Off-Hand
T7_OFF_TORCH,Grandmaster's Torch,7,0,Off-Hand
T7_OFF_TORCH@1,Grandmaster's Torch,7,1,Off-Hand
T7_OFF_TORCH@2,Grandmaster's Torch,7,2,Off-Hand
T7_OFF_TORCH@3,Grandmaster's Torch,7,3,Off-Hand
T7_OFF_TORCH@4,Grandmaster's Torch,7,4,Off-Hand
T8_OFF_TORCH,Elder's Torch,8,0,Off-Hand
T8_OFF_TORCH@1,Elder's Torch,8,1,Off-Hand
T8_OFF_TORCH@2,Elder's Torch,8,2,Off-Hand
